climb_slug,climb_name,country,region,side,category,length_km,elevation_gain_m,avg_grade_pct,max_grade_pct,summit_elevation_m,summit_lat,summit_lon,start_lat,start_lon,wikidata_id,cycletrip_url
col-des-gets,Col des Gets,FR,French Alps,from Taninges,2,11.5,524,4.6,10.8,1172,46.16038,6.66908,46.10779,6.59116,Q2982216,https://cycletrip.pro/climbs/col-des-gets
alto-de-la-estranguada,Alto de la Estranguada,ES,Cantabria,from Saro,2,2.2,230,10.5,18.2,475,43.26521,-3.77271,43.26042,-3.7877,,https://cycletrip.pro/climbs/alto-de-la-estranguada
passo-di-viamaggio,Passo di Viamaggio,IT,Tuscany,from Novafeltria,3,34.6,699,2.0,12.6,983,43.68258,12.11641,43.86654,12.28415,Q3368399,https://cycletrip.pro/climbs/passo-di-viamaggio
passo-di-viamaggio,Passo di Viamaggio,IT,Tuscany,from Pieve Santo Stefano,2,13.3,543,4.1,10.3,983,43.68258,12.11641,43.6649,12.04642,Q3368399,https://cycletrip.pro/climbs/passo-di-viamaggio
passo-di-viamaggio,Passo di Viamaggio,IT,Tuscany,from Sansepolcro,2,17.7,646,3.7,8.3,983,43.68258,12.11641,43.58035,12.12527,Q3368399,https://cycletrip.pro/climbs/passo-di-viamaggio
col-du-hundsruck,Col du Hundsruck,FR,Vosges,from Bitschwiller-lès-Thann,2,6.3,393,6.2,14.7,748,47.80631,7.04246,47.82899,7.07976,Q1107479,https://cycletrip.pro/climbs/col-du-hundsruck
col-du-hundsruck,Col du Hundsruck,FR,Vosges,from Houppach,3,8.6,344,4.0,12.6,748,47.80631,7.04246,47.77511,6.99841,Q1107479,https://cycletrip.pro/climbs/col-du-hundsruck
gora-zar,Góra Żar,PL,Beskidy,from Międzybrodzie Żywieckie,2,8.0,437,5.5,11.6,761,49.7872,19.2238,49.76729,19.20757,,https://cycletrip.pro/climbs/gora-zar
colle-dei-giovetti,Colle dei Giovetti,IT,Liguria,from Bagnasco,2,8.6,451,5.3,10.8,913,44.27915,8.09635,44.30744,8.05363,Q3682757,https://cycletrip.pro/climbs/colle-dei-giovetti
colle-dei-giovetti,Colle dei Giovetti,IT,Liguria,from Calizzano,3,5.2,305,5.9,10.2,913,44.27915,8.09635,44.26658,8.11691,Q3682757,https://cycletrip.pro/climbs/colle-dei-giovetti
